key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,inputText,rt,pracassoc.thisRepN,pracassoc.thisTrialN,pracassoc.thisN,pracassoc.thisIndex,pracassoc.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,key_resp_6.keys,key_resp_6.rt,Colour1,Ecc,assocresponse.thisRepN,assocresponse.thisTrialN,assocresponse.thisN,assocresponse.thisIndex,assocresponse.ran,key_resp_5.keys,key_resp_5.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,2.399,space,5.075,space,7.443,space,17.994, happy,7.834,0,0,0,0,1,596f003434773e0001fc0d28,614919e745f4e8db208e1610,2021-09-20_16h32.04.525,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,bright,1.917,1,0,1,0,1,596f003434773e0001fc0d28,614919e745f4e8db208e1610,2021-09-20_16h32.04.525,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,sunshine,2.118,2,0,2,0,1,596f003434773e0001fc0d28,614919e745f4e8db208e1610,2021-09-20_16h32.04.525,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,energy,4.488,3,0,3,0,1,596f003434773e0001fc0d28,614919e745f4e8db208e1610,2021-09-20_16h32.04.525,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,,9.092,4,0,4,0,1,596f003434773e0001fc0d28,614919e745f4e8db208e1610,2021-09-20_16h32.04.525,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,, sky,5.57,,,,,,596f003434773e0001fc0d28,614919e745f4e8db208e1610,2021-09-20_16h32.04.525,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,space,0.007,7,FF,0,0,0,0,1,,,,,,,
,,,,,,,,clouds,1.469,,,,,,596f003434773e0001fc0d28,614919e745f4e8db208e1610,2021-09-20_16h32.04.525,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,1,0,1,0,1,,,,,,,
,,,,,,,,ocean,2.352,,,,,,596f003434773e0001fc0d28,614919e745f4e8db208e1610,2021-09-20_16h32.04.525,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,2,0,2,0,1,,,,,,,
,,,,,,,,sad,1.433,,,,,,596f003434773e0001fc0d28,614919e745f4e8db208e1610,2021-09-20_16h32.04.525,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,3,0,3,0,1,,,,,,,
,,,,,,,,depression,2.586,,,,,,596f003434773e0001fc0d28,614919e745f4e8db208e1610,2021-09-20_16h32.04.525,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,4,0,4,0,1,,,,,,,
,,,,,,,,water,3.486,,,,,,596f003434773e0001fc0d28,614919e745f4e8db208e1610,2021-09-20_16h32.04.525,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,5,0,5,0,1,,,,,,,
,,,,,,,,waves,3.336,,,,,,596f003434773e0001fc0d28,614919e745f4e8db208e1610,2021-09-20_16h32.04.525,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,6,0,6,0,1,,,,,,,
,,,,,,,,candy,8.175,,,,,,596f003434773e0001fc0d28,614919e745f4e8db208e1610,2021-09-20_16h32.04.525,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,7,0,7,0,1,,,,,,,
