key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,inputText,rt,pracassoc.thisRepN,pracassoc.thisTrialN,pracassoc.thisN,pracassoc.thisIndex,pracassoc.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,key_resp_6.keys,key_resp_6.rt,Colour1,Ecc,assocresponse.thisRepN,assocresponse.thisTrialN,assocresponse.thisN,assocresponse.thisIndex,assocresponse.ran,key_resp_5.keys,key_resp_5.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,3.7034,space,6.276,space,6.4673,space,9.3904, sun,5.2773,0,0,0,0,1,5ed6866f9c98550b6a7c10dc,614815add628f6f80906bf22,2021-09-20_01h01.54.505,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,happy,2.8829,1,0,1,0,1,5ed6866f9c98550b6a7c10dc,614815add628f6f80906bf22,2021-09-20_01h01.54.505,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,light,1.2151,2,0,2,0,1,5ed6866f9c98550b6a7c10dc,614815add628f6f80906bf22,2021-09-20_01h01.54.505,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,bright,2.7835,3,0,3,0,1,5ed6866f9c98550b6a7c10dc,614815add628f6f80906bf22,2021-09-20_01h01.54.505,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,summer,1.5646,4,0,4,0,1,5ed6866f9c98550b6a7c10dc,614815add628f6f80906bf22,2021-09-20_01h01.54.505,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,gold,3.4324,5,0,5,0,1,5ed6866f9c98550b6a7c10dc,614815add628f6f80906bf22,2021-09-20_01h01.54.505,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,,4.5683,6,0,6,0,1,5ed6866f9c98550b6a7c10dc,614815add628f6f80906bf22,2021-09-20_01h01.54.505,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,, girly,4.2479,,,,,,5ed6866f9c98550b6a7c10dc,614815add628f6f80906bf22,2021-09-20_01h01.54.505,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,space,0.4508,8,PF,0,0,0,0,1,,,,,,,
,,,,,,,,fushia,5.1667,,,,,,5ed6866f9c98550b6a7c10dc,614815add628f6f80906bf22,2021-09-20_01h01.54.505,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,1,0,1,0,1,,,,,,,
,,,,,,,,flower,2.4992,,,,,,5ed6866f9c98550b6a7c10dc,614815add628f6f80906bf22,2021-09-20_01h01.54.505,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,2,0,2,0,1,,,,,,,
,,,,,,,,bright,1.5659,,,,,,5ed6866f9c98550b6a7c10dc,614815add628f6f80906bf22,2021-09-20_01h01.54.505,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,3,0,3,0,1,,,,,,,
,,,,,,,,obnoxious,4.1677,,,,,,5ed6866f9c98550b6a7c10dc,614815add628f6f80906bf22,2021-09-20_01h01.54.505,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,4,0,4,0,1,,,,,,,
,,,,,,,,loud,2.533,,,,,,5ed6866f9c98550b6a7c10dc,614815add628f6f80906bf22,2021-09-20_01h01.54.505,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,5,0,5,0,1,,,,,,,
,,,,,,,,talkative,2.7498,,,,,,5ed6866f9c98550b6a7c10dc,614815add628f6f80906bf22,2021-09-20_01h01.54.505,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,6,0,6,0,1,,,,,,,
,,,,,,,,intense,3.0676,,,,,,5ed6866f9c98550b6a7c10dc,614815add628f6f80906bf22,2021-09-20_01h01.54.505,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,7,0,7,0,1,,,,,,,
,,,,,,,,,1.8164,,,,,,5ed6866f9c98550b6a7c10dc,614815add628f6f80906bf22,2021-09-20_01h01.54.505,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,8,0,8,0,1,,,,,,,
,,,,,,,,,,,,,,,5ed6866f9c98550b6a7c10dc,614815add628f6f80906bf22,2021-09-20_01h01.54.505,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,8,PF,,,,,,space,2.27,0,0,0,7,1
,,,,,,,, basic,2.6811,,,,,,5ed6866f9c98550b6a7c10dc,614815add628f6f80906bf22,2021-09-20_01h01.54.505,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,7,FF,0,0,0,0,1,,,,,,,
,,,,,,,,water,2.1824,,,,,,5ed6866f9c98550b6a7c10dc,614815add628f6f80906bf22,2021-09-20_01h01.54.505,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,1,0,1,0,1,,,,,,,
,,,,,,,,boy,1.7326,,,,,,5ed6866f9c98550b6a7c10dc,614815add628f6f80906bf22,2021-09-20_01h01.54.505,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,2,0,2,0,1,,,,,,,
,,,,,,,,games,2.5017,,,,,,5ed6866f9c98550b6a7c10dc,614815add628f6f80906bf22,2021-09-20_01h01.54.505,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,3,0,3,0,1,,,,,,,
,,,,,,,,boardgames,3.2339,,,,,,5ed6866f9c98550b6a7c10dc,614815add628f6f80906bf22,2021-09-20_01h01.54.505,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,4,0,4,0,1,,,,,,,
,,,,,,,,calming,5.2179,,,,,,5ed6866f9c98550b6a7c10dc,614815add628f6f80906bf22,2021-09-20_01h01.54.505,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,5,0,5,0,1,,,,,,,
,,,,,,,,rich,1.7643,,,,,,5ed6866f9c98550b6a7c10dc,614815add628f6f80906bf22,2021-09-20_01h01.54.505,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,6,0,6,0,1,,,,,,,
,,,,,,,,deep,1.4168,,,,,,5ed6866f9c98550b6a7c10dc,614815add628f6f80906bf22,2021-09-20_01h01.54.505,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,7,0,7,0,1,,,,,,,
,,,,,,,,,4.3848,,,,,,5ed6866f9c98550b6a7c10dc,614815add628f6f80906bf22,2021-09-20_01h01.54.505,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,8,0,8,0,1,,,,,,,
