key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,inputText,rt,pracassoc.thisRepN,pracassoc.thisTrialN,pracassoc.thisN,pracassoc.thisIndex,pracassoc.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,key_resp_6.keys,key_resp_6.rt,Colour1,Ecc,assocresponse.thisRepN,assocresponse.thisTrialN,assocresponse.thisN,assocresponse.thisIndex,assocresponse.ran,key_resp_5.keys,key_resp_5.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,1.7557,space,9.5854,space,6.7955,space,12.6146, piss,3.726,0,0,0,0,1,607728dc0b4f8590b94ae57c,61491a1fe6f594bb885389f9,2021-09-20_20h34.38.289,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,puss,2.3512,1,0,1,0,1,607728dc0b4f8590b94ae57c,61491a1fe6f594bb885389f9,2021-09-20_20h34.38.289,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,flower,4.1249,2,0,2,0,1,607728dc0b4f8590b94ae57c,61491a1fe6f594bb885389f9,2021-09-20_20h34.38.289,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,dress,1.6134,3,0,3,0,1,607728dc0b4f8590b94ae57c,61491a1fe6f594bb885389f9,2021-09-20_20h34.38.289,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,,1.6334,4,0,4,0,1,607728dc0b4f8590b94ae57c,61491a1fe6f594bb885389f9,2021-09-20_20h34.38.289,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,, sky,2.0127,,,,,,607728dc0b4f8590b94ae57c,61491a1fe6f594bb885389f9,2021-09-20_20h34.38.289,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,space,0.767,6,PF,0,0,0,0,1,,,,,,,
,,,,,,,,water,1.8316,,,,,,607728dc0b4f8590b94ae57c,61491a1fe6f594bb885389f9,2021-09-20_20h34.38.289,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,1,0,1,0,1,,,,,,,
,,,,,,,,pool,1.1838,,,,,,607728dc0b4f8590b94ae57c,61491a1fe6f594bb885389f9,2021-09-20_20h34.38.289,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,2,0,2,0,1,,,,,,,
,,,,,,,,desert,4.3959,,,,,,607728dc0b4f8590b94ae57c,61491a1fe6f594bb885389f9,2021-09-20_20h34.38.289,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,3,0,3,0,1,,,,,,,
,,,,,,,,,1.9377,,,,,,607728dc0b4f8590b94ae57c,61491a1fe6f594bb885389f9,2021-09-20_20h34.38.289,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,4,0,4,0,1,,,,,,,
