key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,inputText,rt,pracassoc.thisRepN,pracassoc.thisTrialN,pracassoc.thisN,pracassoc.thisIndex,pracassoc.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,key_resp_6.keys,key_resp_6.rt,Colour1,Ecc,assocresponse.thisRepN,assocresponse.thisTrialN,assocresponse.thisN,assocresponse.thisIndex,assocresponse.ran,key_resp_5.keys,key_resp_5.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,2.6462,space,7.8576,space,12.3838,space,59.5492, fun,10.9735,0,0,0,0,1,60fb1fc7b2b02ebe00fc26e7,614919e4a3679db7690cc68a,2021-09-21_01h32.27.840,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,new,22.3404,1,0,1,0,1,60fb1fc7b2b02ebe00fc26e7,614919e4a3679db7690cc68a,2021-09-21_01h32.27.840,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,,7.9462,2,0,2,0,1,60fb1fc7b2b02ebe00fc26e7,614919e4a3679db7690cc68a,2021-09-21_01h32.27.840,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,, cold,6.7464,,,,,,60fb1fc7b2b02ebe00fc26e7,614919e4a3679db7690cc68a,2021-09-21_01h32.27.840,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,space,5.515,7,FF,0,0,0,0,1,,,,,,,
,,,,,,,,smart,9.1785,,,,,,60fb1fc7b2b02ebe00fc26e7,614919e4a3679db7690cc68a,2021-09-21_01h32.27.840,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,1,0,1,0,1,,,,,,,
,,,,,,,,,5.6302,,,,,,60fb1fc7b2b02ebe00fc26e7,614919e4a3679db7690cc68a,2021-09-21_01h32.27.840,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,2,0,2,0,1,,,,,,,
,,,,,,,,,,,,,,,60fb1fc7b2b02ebe00fc26e7,614919e4a3679db7690cc68a,2021-09-21_01h32.27.840,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,7,FF,,,,,,space,0.7292,0,0,0,6,1
,,,,,,,, anger,4.0308,,,,,,60fb1fc7b2b02ebe00fc26e7,614919e4a3679db7690cc68a,2021-09-21_01h32.27.840,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,1,FF,0,0,0,0,1,,,,,,,
,,,,,,,,negativity,9.4624,,,,,,60fb1fc7b2b02ebe00fc26e7,614919e4a3679db7690cc68a,2021-09-21_01h32.27.840,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,1,0,1,0,1,,,,,,,
,,,,,,,,hot,13.9606,,,,,,60fb1fc7b2b02ebe00fc26e7,614919e4a3679db7690cc68a,2021-09-21_01h32.27.840,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,2,0,2,0,1,,,,,,,
