key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,inputText,rt,pracassoc.thisRepN,pracassoc.thisTrialN,pracassoc.thisN,pracassoc.thisIndex,pracassoc.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,key_resp_6.keys,key_resp_6.rt,Colour1,Ecc,assocresponse.thisRepN,assocresponse.thisTrialN,assocresponse.thisN,assocresponse.thisIndex,assocresponse.ran,key_resp_5.keys,key_resp_5.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,1.2661,space,1.4039,space,4.435,space,28.967, happy,11.4165,0,0,0,0,1,6110ca6cdaa5a7f8064963e8,614919e7f00a54fff637fdd8,2021-09-20_17h32.06.544,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,joy,4.1883,1,0,1,0,1,6110ca6cdaa5a7f8064963e8,614919e7f00a54fff637fdd8,2021-09-20_17h32.06.544,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,sun,1.903,2,0,2,0,1,6110ca6cdaa5a7f8064963e8,614919e7f00a54fff637fdd8,2021-09-20_17h32.06.544,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,flowers,10.108,3,0,3,0,1,6110ca6cdaa5a7f8064963e8,614919e7f00a54fff637fdd8,2021-09-20_17h32.06.544,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,sunflowers,3.9754,4,0,4,0,1,6110ca6cdaa5a7f8064963e8,614919e7f00a54fff637fdd8,2021-09-20_17h32.06.544,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,,10.807,5,0,5,0,1,6110ca6cdaa5a7f8064963e8,614919e7f00a54fff637fdd8,2021-09-20_17h32.06.544,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,, ocean,7.8164,,,,,,6110ca6cdaa5a7f8064963e8,614919e7f00a54fff637fdd8,2021-09-20_17h32.06.544,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,space,2.8968,6,PF,0,0,0,0,1,,,,,,,
,,,,,,,,painting,16.608,,,,,,6110ca6cdaa5a7f8064963e8,614919e7f00a54fff637fdd8,2021-09-20_17h32.06.544,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,1,0,1,0,1,,,,,,,
,,,,,,,,tropical,19.983,,,,,,6110ca6cdaa5a7f8064963e8,614919e7f00a54fff637fdd8,2021-09-20_17h32.06.544,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,2,0,2,0,1,,,,,,,
,,,,,,,,,1.1679,,,,,,6110ca6cdaa5a7f8064963e8,614919e7f00a54fff637fdd8,2021-09-20_17h32.06.544,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,3,0,3,0,1,,,,,,,
