key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,inputText,rt,pracassoc.thisRepN,pracassoc.thisTrialN,pracassoc.thisN,pracassoc.thisIndex,pracassoc.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,key_resp_6.keys,key_resp_6.rt,Colour1,Ecc,assocresponse.thisRepN,assocresponse.thisTrialN,assocresponse.thisN,assocresponse.thisIndex,assocresponse.ran,key_resp_5.keys,key_resp_5.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,1.1782,space,3.7617,space,2.1496,space,7.1179, sun,20.9714,0,0,0,0,1,613279dcdea673a767b0e469,614815efcd7fd757d712c017,2021-09-20_06h02.56.820,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,, hell anger,20.547,,,,,,613279dcdea673a767b0e469,614815efcd7fd757d712c017,2021-09-20_06h02.56.820,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,space,0.5013,1,FF,0,0,0,0,1,,,,,,,
,,,,,,,,anger,1,,,,,,613279dcdea673a767b0e469,,,,,,,,,,,,1,,,,,,,,,,,
,,,,,,,,,1,,,,,,613279dcdea673a767b0e469,614815efcd7fd757d712c017,2021-09-20_06h02.56.820,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,1,FF,2,,,,,space,0.557,0,0,0,0,1
,,,,,,,, grass sun ,57.1825,,,,,,613279dcdea673a767b0e469,614815efcd7fd757d712c017,2021-09-20_06h02.56.820,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,5,FF,0,0,0,0,1,,,,,,,
,,,,,,,,sun,1,,,,,,613279dcdea673a767b0e469,,,,,,,,,,,,1,,,,,,,,,,,
,,,,,,,,,1,,,,,,613279dcdea673a767b0e469,614815efcd7fd757d712c017,2021-09-20_06h02.56.820,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,5,FF,2,,,,,space,0.183,0,1,1,4,1
,,,,,,,, water oxygen sky tears ,29.1833,,,,,,613279dcdea673a767b0e469,614815efcd7fd757d712c017,2021-09-20_06h02.56.820,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,7,FF,0,0,0,0,1,,,,,,,
,,,,,,,,oxygen,1,,,,,,613279dcdea673a767b0e469,,,,,,,,,,,,1,,,,,,,,,,,
,,,,,,,,sky,1,,,,,,613279dcdea673a767b0e469,,,,,,,,,,,,2,,,,,,,,,,,
,,,,,,,,tears,1,,,,,,613279dcdea673a767b0e469,,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,1,,,,,,613279dcdea673a767b0e469,614815efcd7fd757d712c017,2021-09-20_06h02.56.820,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,7,FF,4,,,,,space,0.1688,0,2,2,6,1
,,,,,,,, snot,8.1639,,,,,,613279dcdea673a767b0e469,614815efcd7fd757d712c017,2021-09-20_06h02.56.820,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,3,FF,0,0,0,0,1,,,,,,,
,,,,,,,,,1,,,,,,613279dcdea673a767b0e469,614815efcd7fd757d712c017,2021-09-20_06h02.56.820,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,3,FF,1,,,,,space,0.6659,0,3,3,2,1
,,,,,,,, clothing fabric ,31.2821,,,,,,613279dcdea673a767b0e469,614815efcd7fd757d712c017,2021-09-20_06h02.56.820,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,4,PF,0,0,0,0,1,,,,,,,
,,,,,,,,,1,,,,,,613279dcdea673a767b0e469,614815efcd7fd757d712c017,2021-09-20_06h02.56.820,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,4,PF,1,,,,,space,0.4011,0,4,4,3,1
,,,,,,,, love hearts valentines youth,15.3818,,,,,,613279dcdea673a767b0e469,614815efcd7fd757d712c017,2021-09-20_06h02.56.820,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,9,FF,0,0,0,0,1,,,,,,,
,,,,,,,,hearts,1,,,,,,613279dcdea673a767b0e469,,,,,,,,,,,,1,,,,,,,,,,,
,,,,,,,,valentines,1,,,,,,613279dcdea673a767b0e469,,,,,,,,,,,,2,,,,,,,,,,,
,,,,,,,,youth,1,,,,,,613279dcdea673a767b0e469,,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,1,,,,,,613279dcdea673a767b0e469,614815efcd7fd757d712c017,2021-09-20_06h02.56.820,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,9,FF,4,,,,,space,0.1374,0,5,5,8,1
,,,,,,,, sun set bright positive ice cream,55.5668,,,,,,613279dcdea673a767b0e469,614815efcd7fd757d712c017,2021-09-20_06h02.56.820,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,2,PF,0,0,0,0,1,,,,,,,
,,,,,,,,positivty ,1,,,,,,613279dcdea673a767b0e469,,,,,,,,,,,,1,,,,,,,,,,,
,,,,,,,,icecream,1,,,,,,613279dcdea673a767b0e469,,,,,,,,,,,,2,,,,,,,,,,,
