key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,inputText,rt,pracassoc.thisRepN,pracassoc.thisTrialN,pracassoc.thisN,pracassoc.thisIndex,pracassoc.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,key_resp_6.keys,key_resp_6.rt,Colour1,Ecc,assocresponse.thisRepN,assocresponse.thisTrialN,assocresponse.thisN,assocresponse.thisIndex,assocresponse.ran,key_resp_5.keys,key_resp_5.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,2.8243,space,10.6323,space,8.9498,space,27.5099,  ,28.9632,0,0,0,0,1,61375d5886d9d6456d5be8da,6148189b1a5569760e8e88b0,2021-09-20_00h15.41.263,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,casual ,22.1727,1,0,1,0,1,61375d5886d9d6456d5be8da,6148189b1a5569760e8e88b0,2021-09-20_00h15.41.263,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,,3.1289,2,0,2,0,1,61375d5886d9d6456d5be8da,6148189b1a5569760e8e88b0,2021-09-20_00h15.41.263,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,, royalty,14.6041,,,,,,61375d5886d9d6456d5be8da,6148189b1a5569760e8e88b0,2021-09-20_00h15.41.263,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,space,1.2591,8,PF,0,0,0,0,1,,,,,,,
,,,,,,,,,2.2129,,,,,,61375d5886d9d6456d5be8da,6148189b1a5569760e8e88b0,2021-09-20_00h15.41.263,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,1,0,1,0,1,,,,,,,
,,,,,,,,,,,,,,,61375d5886d9d6456d5be8da,6148189b1a5569760e8e88b0,2021-09-20_00h15.41.263,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,8,PF,,,,,,space,1.2203,0,0,0,7,1
,,,,,,,, technology,10.8905,,,,,,61375d5886d9d6456d5be8da,6148189b1a5569760e8e88b0,2021-09-20_00h15.41.263,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,6,PF,0,0,0,0,1,,,,,,,
,,,,,,,,startup business,13.093,,,,,,61375d5886d9d6456d5be8da,6148189b1a5569760e8e88b0,2021-09-20_00h15.41.263,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,1,0,1,0,1,,,,,,,
,,,,,,,,professoinalism,11.6441,,,,,,61375d5886d9d6456d5be8da,6148189b1a5569760e8e88b0,2021-09-20_00h15.41.263,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,2,0,2,0,1,,,,,,,
,,,,,,,,,5.4792,,,,,,61375d5886d9d6456d5be8da,6148189b1a5569760e8e88b0,2021-09-20_00h15.41.263,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,3,0,3,0,1,,,,,,,
,,,,,,,,,,,,,,,61375d5886d9d6456d5be8da,6148189b1a5569760e8e88b0,2021-09-20_00h15.41.263,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,6,PF,,,,,,space,0.1271,0,1,1,5,1
,,,,,,,, sustainability,14.9946,,,,,,61375d5886d9d6456d5be8da,6148189b1a5569760e8e88b0,2021-09-20_00h15.41.263,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,5,FF,0,0,0,0,1,,,,,,,
,,,,,,,,,10.2775,,,,,,61375d5886d9d6456d5be8da,6148189b1a5569760e8e88b0,2021-09-20_00h15.41.263,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,1,0,1,0,1,,,,,,,
,,,,,,,,,,,,,,,61375d5886d9d6456d5be8da,6148189b1a5569760e8e88b0,2021-09-20_00h15.41.263,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,5,FF,,,,,,space,2.2991,0,2,2,4,1
,,,,,,,, royalty,7.7089,,,,,,61375d5886d9d6456d5be8da,6148189b1a5569760e8e88b0,2021-09-20_00h15.41.263,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,1,FF,0,0,0,0,1,,,,,,,
,,,,,,,,blood,4.6793,,,,,,61375d5886d9d6456d5be8da,6148189b1a5569760e8e88b0,2021-09-20_00h15.41.263,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,1,0,1,0,1,,,,,,,
,,,,,,,,firm grip,10.8112,,,,,,61375d5886d9d6456d5be8da,6148189b1a5569760e8e88b0,2021-09-20_00h15.41.263,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,2,0,2,0,1,,,,,,,
,,,,,,,,action,4.3295,,,,,,61375d5886d9d6456d5be8da,6148189b1a5569760e8e88b0,2021-09-20_00h15.41.263,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,3,0,3,0,1,,,,,,,
