key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,inputText,rt,pracassoc.thisRepN,pracassoc.thisTrialN,pracassoc.thisN,pracassoc.thisIndex,pracassoc.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,key_resp_6.keys,key_resp_6.rt,Colour1,Ecc,assocresponse.thisRepN,assocresponse.thisTrialN,assocresponse.thisN,assocresponse.thisIndex,assocresponse.ran,key_resp_5.keys,key_resp_5.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,2.0535,space,13.6615,space,5.3473,space,121.2439, annoying and bright,45.701,0,0,0,0,1,6137f18942855c7e36f5e584,614816bf5ecafa4e1d35cc55,2021-09-20_00h06.41.019,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,the color yellow gives me a headache,30.7537,1,0,1,0,1,6137f18942855c7e36f5e584,614816bf5ecafa4e1d35cc55,2021-09-20_00h06.41.019,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,,17.1333,2,0,2,0,1,6137f18942855c7e36f5e584,614816bf5ecafa4e1d35cc55,2021-09-20_00h06.41.019,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,, this color makes me think of positive things,19.8933,,,,,,6137f18942855c7e36f5e584,614816bf5ecafa4e1d35cc55,2021-09-20_00h06.41.019,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,space,0.525,3,FF,0,0,0,0,1,,,,,,,
,,,,,,,,the color is very bright and fresh,7.5567,,,,,,6137f18942855c7e36f5e584,614816bf5ecafa4e1d35cc55,2021-09-20_00h06.41.019,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,1,0,1,0,1,,,,,,,
,,,,,,,,,4.8099,,,,,,6137f18942855c7e36f5e584,614816bf5ecafa4e1d35cc55,2021-09-20_00h06.41.019,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,2,0,2,0,1,,,,,,,
,,,,,,,,,,,,,,,6137f18942855c7e36f5e584,614816bf5ecafa4e1d35cc55,2021-09-20_00h06.41.019,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,3,FF,,,,,,space,2.6583,0,0,0,2,1
,,,,,,,, this color makes me think of plants,20.5724,,,,,,6137f18942855c7e36f5e584,614816bf5ecafa4e1d35cc55,2021-09-20_00h06.41.019,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,4,PF,0,0,0,0,1,,,,,,,
,,,,,,,,i associate the color with spring leaves,22.0285,,,,,,6137f18942855c7e36f5e584,614816bf5ecafa4e1d35cc55,2021-09-20_00h06.41.019,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,1,0,1,0,1,,,,,,,
,,,,,,,,it is also a childish color to me,21.0955,,,,,,6137f18942855c7e36f5e584,614816bf5ecafa4e1d35cc55,2021-09-20_00h06.41.019,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,2,0,2,0,1,,,,,,,
,,,,,,,,,1.7463,,,,,,6137f18942855c7e36f5e584,614816bf5ecafa4e1d35cc55,2021-09-20_00h06.41.019,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,3,0,3,0,1,,,,,,,
,,,,,,,,,,,,,,,6137f18942855c7e36f5e584,614816bf5ecafa4e1d35cc55,2021-09-20_00h06.41.019,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,4,PF,,,,,,space,2.6504,0,1,1,3,1
,,,,,,,, the color orange has always rubbed me the wrong way,17.2113,,,,,,6137f18942855c7e36f5e584,614816bf5ecafa4e1d35cc55,2021-09-20_00h06.41.019,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,2,PF,0,0,0,0,1,,,,,,,
,,,,,,,,orange is my least favorite color because it is annoying,14.8353,,,,,,6137f18942855c7e36f5e584,614816bf5ecafa4e1d35cc55,2021-09-20_00h06.41.019,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,1,0,1,0,1,,,,,,,
,,,,,,,,it reminds me of traffic cones,17.9152,,,,,,6137f18942855c7e36f5e584,614816bf5ecafa4e1d35cc55,2021-09-20_00h06.41.019,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,2,0,2,0,1,,,,,,,
,,,,,,,,,1.8129,,,,,,6137f18942855c7e36f5e584,614816bf5ecafa4e1d35cc55,2021-09-20_00h06.41.019,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,3,0,3,0,1,,,,,,,
