key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,inputText,rt,pracassoc.thisRepN,pracassoc.thisTrialN,pracassoc.thisN,pracassoc.thisIndex,pracassoc.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,key_resp_6.keys,key_resp_6.rt,Colour1,Ecc,assocresponse.thisRepN,assocresponse.thisTrialN,assocresponse.thisN,assocresponse.thisIndex,assocresponse.ran,key_resp_5.keys,key_resp_5.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,7.3794,space,13.6732,space,18.9626,space,25.0547,happy,60.3887,0,0,0,0,1,61381fc0024ffe24683c2784,61481b2f9d3e19bbbb20aed2,2021-09-20_00h25.19.957,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,smile,2.1136,1,0,1,0,1,61381fc0024ffe24683c2784,61481b2f9d3e19bbbb20aed2,2021-09-20_00h25.19.957,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,yeollow,4.5159,2,0,2,0,1,61381fc0024ffe24683c2784,61481b2f9d3e19bbbb20aed2,2021-09-20_00h25.19.957,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,nice,5.013,3,0,3,0,1,61381fc0024ffe24683c2784,61481b2f9d3e19bbbb20aed2,2021-09-20_00h25.19.957,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,o,26.3318,4,0,4,0,1,61381fc0024ffe24683c2784,61481b2f9d3e19bbbb20aed2,2021-09-20_00h25.19.957,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,, serious,13.6303,,,,,,61381fc0024ffe24683c2784,61481b2f9d3e19bbbb20aed2,2021-09-20_00h25.19.957,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,space,4.0272,7,FF,0,0,0,0,1,,,,,,,
,,,,,,,,waves,10.4462,,,,,,61381fc0024ffe24683c2784,61481b2f9d3e19bbbb20aed2,2021-09-20_00h25.19.957,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,1,0,1,0,1,,,,,,,
,,,,,,,,blu,4.0804,,,,,,61381fc0024ffe24683c2784,61481b2f9d3e19bbbb20aed2,2021-09-20_00h25.19.957,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,2,0,2,0,1,,,,,,,
,,,,,,,,,6.4805,,,,,,61381fc0024ffe24683c2784,61481b2f9d3e19bbbb20aed2,2021-09-20_00h25.19.957,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,4,0,4,0,1,,,,,,,
,,,,,,,,,,,,,,,61381fc0024ffe24683c2784,61481b2f9d3e19bbbb20aed2,2021-09-20_00h25.19.957,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,7,FF,,,,,,space,2.2559,0,0,0,6,1
,,,,,,,, pinky,7.047,,,,,,61381fc0024ffe24683c2784,61481b2f9d3e19bbbb20aed2,2021-09-20_00h25.19.957,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,9,FF,0,0,0,0,1,,,,,,,
,,,,,,,,fashion,4.2646,,,,,,61381fc0024ffe24683c2784,61481b2f9d3e19bbbb20aed2,2021-09-20_00h25.19.957,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,1,0,1,0,1,,,,,,,
,,,,,,,,trend,3.0132,,,,,,61381fc0024ffe24683c2784,61481b2f9d3e19bbbb20aed2,2021-09-20_00h25.19.957,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,2,0,2,0,1,,,,,,,
,,,,,,,,cute,7.016,,,,,,61381fc0024ffe24683c2784,61481b2f9d3e19bbbb20aed2,2021-09-20_00h25.19.957,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,3,0,3,0,1,,,,,,,
