key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,inputText,rt,pracassoc.thisRepN,pracassoc.thisTrialN,pracassoc.thisN,pracassoc.thisIndex,pracassoc.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,key_resp_6.keys,key_resp_6.rt,Colour1,Ecc,assocresponse.thisRepN,assocresponse.thisTrialN,assocresponse.thisN,assocresponse.thisIndex,assocresponse.ran,key_resp_5.keys,key_resp_5.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,1.3648,space,6.6341,space,7.8546,space,12.0257, sun,5.0342,0,0,0,0,1,61391e597dbe122a2dffb914,614814f5b300312d81cbd969,2021-09-20_00h58.43.365,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,happy,3.4056,1,0,1,0,1,61391e597dbe122a2dffb914,614814f5b300312d81cbd969,2021-09-20_00h58.43.365,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,mellow,3.4393,2,0,2,0,1,61391e597dbe122a2dffb914,614814f5b300312d81cbd969,2021-09-20_00h58.43.365,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,lemon,2.5563,3,0,3,0,1,61391e597dbe122a2dffb914,614814f5b300312d81cbd969,2021-09-20_00h58.43.365,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,towel,20.6021,4,0,4,0,1,61391e597dbe122a2dffb914,614814f5b300312d81cbd969,2021-09-20_00h58.43.365,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,,4.409,5,0,5,0,1,61391e597dbe122a2dffb914,614814f5b300312d81cbd969,2021-09-20_00h58.43.365,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,, sad,2.2822,,,,,,61391e597dbe122a2dffb914,614814f5b300312d81cbd969,2021-09-20_00h58.43.365,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,space,2.1119,6,PF,0,0,0,0,1,,,,,,,
,,,,,,,,curtain,3.7608,,,,,,61391e597dbe122a2dffb914,614814f5b300312d81cbd969,2021-09-20_00h58.43.365,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,1,0,1,0,1,,,,,,,
,,,,,,,,ocean,1.3319,,,,,,61391e597dbe122a2dffb914,614814f5b300312d81cbd969,2021-09-20_00h58.43.365,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,2,0,2,0,1,,,,,,,
,,,,,,,,blues clues,5.548,,,,,,61391e597dbe122a2dffb914,614814f5b300312d81cbd969,2021-09-20_00h58.43.365,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,3,0,3,0,1,,,,,,,
