key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,inputText,rt,pracassoc.thisRepN,pracassoc.thisTrialN,pracassoc.thisN,pracassoc.thisIndex,pracassoc.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,key_resp_6.keys,key_resp_6.rt,Colour1,Ecc,assocresponse.thisRepN,assocresponse.thisTrialN,assocresponse.thisN,assocresponse.thisIndex,assocresponse.ran,key_resp_5.keys,key_resp_5.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,7.0391,space,40.351,space,17.8944,space,29.8582, yellow,11.3484,0,0,0,0,1,613a3b9a0574bd2ba1bc4a72,614919e6354a09984b9f5464,2021-09-20_17h32.05.811,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,shiny,6.0287,1,0,1,0,1,613a3b9a0574bd2ba1bc4a72,614919e6354a09984b9f5464,2021-09-20_17h32.05.811,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,sun,14.9819,2,0,2,0,1,613a3b9a0574bd2ba1bc4a72,614919e6354a09984b9f5464,2021-09-20_17h32.05.811,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,glowly,36.1974,3,0,3,0,1,613a3b9a0574bd2ba1bc4a72,614919e6354a09984b9f5464,2021-09-20_17h32.05.811,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,, orange,12.5782,,,,,,613a3b9a0574bd2ba1bc4a72,614919e6354a09984b9f5464,2021-09-20_17h32.05.811,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,space,1.0421,2,PF,0,0,0,0,1,,,,,,,
,,,,,,,,bird,7.5637,,,,,,613a3b9a0574bd2ba1bc4a72,614919e6354a09984b9f5464,2021-09-20_17h32.05.811,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,1,0,1,0,1,,,,,,,
,,,,,,,,junk food,10.2312,,,,,,613a3b9a0574bd2ba1bc4a72,614919e6354a09984b9f5464,2021-09-20_17h32.05.811,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,2,0,2,0,1,,,,,,,
,,,,,,,,smile,5.7637,,,,,,613a3b9a0574bd2ba1bc4a72,614919e6354a09984b9f5464,2021-09-20_17h32.05.811,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,3,0,3,0,1,,,,,,,
,,,,,,,,hands,7.0488,,,,,,613a3b9a0574bd2ba1bc4a72,614919e6354a09984b9f5464,2021-09-20_17h32.05.811,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,4,0,4,0,1,,,,,,,
,,,,,,,,,4.6472,,,,,,613a3b9a0574bd2ba1bc4a72,614919e6354a09984b9f5464,2021-09-20_17h32.05.811,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,5,0,5,0,1,,,,,,,
,,,,,,,,,,,,,,,613a3b9a0574bd2ba1bc4a72,614919e6354a09984b9f5464,2021-09-20_17h32.05.811,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,2,PF,,,,,,space,3.2537,0,0,0,1,1
,,,,,,,, darkness,6.1468,,,,,,613a3b9a0574bd2ba1bc4a72,614919e6354a09984b9f5464,2021-09-20_17h32.05.811,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,7,FF,0,0,0,0,1,,,,,,,
,,,,,,,,luxury,5.881,,,,,,613a3b9a0574bd2ba1bc4a72,614919e6354a09984b9f5464,2021-09-20_17h32.05.811,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,1,0,1,0,1,,,,,,,
,,,,,,,,sofa,63.3811,,,,,,613a3b9a0574bd2ba1bc4a72,614919e6354a09984b9f5464,2021-09-20_17h32.05.811,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,2,0,2,0,1,,,,,,,
,,,,,,,,sapphire,18.2306,,,,,,613a3b9a0574bd2ba1bc4a72,614919e6354a09984b9f5464,2021-09-20_17h32.05.811,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,3,0,3,0,1,,,,,,,
,,,,,,,,,3.4481,,,,,,613a3b9a0574bd2ba1bc4a72,614919e6354a09984b9f5464,2021-09-20_17h32.05.811,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,4,0,4,0,1,,,,,,,
,,,,,,,,,,,,,,,613a3b9a0574bd2ba1bc4a72,614919e6354a09984b9f5464,2021-09-20_17h32.05.811,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,7,FF,,,,,,space,2.558,0,1,1,6,1
,,,,,,,, grapes,24.3961,,,,,,613a3b9a0574bd2ba1bc4a72,614919e6354a09984b9f5464,2021-09-20_17h32.05.811,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,8,PF,0,0,0,0,1,,,,,,,
,,,,,,,,transition,28.6814,,,,,,613a3b9a0574bd2ba1bc4a72,614919e6354a09984b9f5464,2021-09-20_17h32.05.811,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,1,0,1,0,1,,,,,,,
,,,,,,,,emotion,2.7137,,,,,,613a3b9a0574bd2ba1bc4a72,614919e6354a09984b9f5464,2021-09-20_17h32.05.811,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,2,0,2,0,1,,,,,,,
,,,,,,,,fear,3.1323,,,,,,613a3b9a0574bd2ba1bc4a72,614919e6354a09984b9f5464,2021-09-20_17h32.05.811,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,3,0,3,0,1,,,,,,,
,,,,,,,,,9.0658,,,,,,613a3b9a0574bd2ba1bc4a72,614919e6354a09984b9f5464,2021-09-20_17h32.05.811,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,4,0,4,0,1,,,,,,,
,,,,,,,,,,,,,,,613a3b9a0574bd2ba1bc4a72,614919e6354a09984b9f5464,2021-09-20_17h32.05.811,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,8,PF,,,,,,space,3.539,0,2,2,7,1
,,,,,,,, frog,17.1145,,,,,,613a3b9a0574bd2ba1bc4a72,614919e6354a09984b9f5464,2021-09-20_17h32.05.811,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,4,PF,0,0,0,0,1,,,,,,,
,,,,,,,,phosphorescence,70.796,,,,,,613a3b9a0574bd2ba1bc4a72,614919e6354a09984b9f5464,2021-09-20_17h32.05.811,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,1,0,1,0,1,,,,,,,
,,,,,,,,party,9.9472,,,,,,613a3b9a0574bd2ba1bc4a72,614919e6354a09984b9f5464,2021-09-20_17h32.05.811,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,2,0,2,0,1,,,,,,,
,,,,,,,,lights,47.0806,,,,,,613a3b9a0574bd2ba1bc4a72,614919e6354a09984b9f5464,2021-09-20_17h32.05.811,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,3,0,3,0,1,,,,,,,
,,,,,,,,,5.7153,,,,,,613a3b9a0574bd2ba1bc4a72,614919e6354a09984b9f5464,2021-09-20_17h32.05.811,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,4,0,4,0,1,,,,,,,
,,,,,,,,,,,,,,,613a3b9a0574bd2ba1bc4a72,614919e6354a09984b9f5464,2021-09-20_17h32.05.811,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,4,PF,,,,,,space,37.7782,0,3,3,3,1
,,,,,,,, frog,6.2278,,,,,,613a3b9a0574bd2ba1bc4a72,614919e6354a09984b9f5464,2021-09-20_17h32.05.811,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,3,FF,0,0,0,0,1,,,,,,,
,,,,,,,,lamp,10.9642,,,,,,613a3b9a0574bd2ba1bc4a72,614919e6354a09984b9f5464,2021-09-20_17h32.05.811,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,1,0,1,0,1,,,,,,,
,,,,,,,,soda ,8.9809,,,,,,613a3b9a0574bd2ba1bc4a72,614919e6354a09984b9f5464,2021-09-20_17h32.05.811,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,2,0,2,0,1,,,,,,,
,,,,,,,,lemon,5.4481,,,,,,613a3b9a0574bd2ba1bc4a72,614919e6354a09984b9f5464,2021-09-20_17h32.05.811,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,3,0,3,0,1,,,,,,,
,,,,,,,,,7.5144,,,,,,613a3b9a0574bd2ba1bc4a72,614919e6354a09984b9f5464,2021-09-20_17h32.05.811,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,4,0,4,0,1,,,,,,,
,,,,,,,,,,,,,,,613a3b9a0574bd2ba1bc4a72,614919e6354a09984b9f5464,2021-09-20_17h32.05.811,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,3,FF,,,,,,space,2.3486,0,4,4,2,1
,,,,,,,, passion,4.3132,,,,,,613a3b9a0574bd2ba1bc4a72,614919e6354a09984b9f5464,2021-09-20_17h32.05.811,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,1,FF,0,0,0,0,1,,,,,,,
,,,,,,,,blood,1.4822,,,,,,613a3b9a0574bd2ba1bc4a72,614919e6354a09984b9f5464,2021-09-20_17h32.05.811,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,1,0,1,0,1,,,,,,,
,,,,,,,,vampire,4.2322,,,,,,613a3b9a0574bd2ba1bc4a72,614919e6354a09984b9f5464,2021-09-20_17h32.05.811,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,2,0,2,0,1,,,,,,,
