key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,inputText,rt,pracassoc.thisRepN,pracassoc.thisTrialN,pracassoc.thisN,pracassoc.thisIndex,pracassoc.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,key_resp_6.keys,key_resp_6.rt,Colour1,Ecc,assocresponse.thisRepN,assocresponse.thisTrialN,assocresponse.thisN,assocresponse.thisIndex,assocresponse.ran,key_resp_5.keys,key_resp_5.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,4.4792,space,22.4399,space,31.4899,space,28.8724, sun,6.432,0,0,0,0,1,613a7e0afd2d5588c9626157,614815d26f1497f16f9d31f0,2021-09-20_00h14.42.245,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,day,2.3066,1,0,1,0,1,613a7e0afd2d5588c9626157,614815d26f1497f16f9d31f0,2021-09-20_00h14.42.245,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,joy,2.3519,2,0,2,0,1,613a7e0afd2d5588c9626157,614815d26f1497f16f9d31f0,2021-09-20_00h14.42.245,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,,10.6661,3,0,3,0,1,613a7e0afd2d5588c9626157,614815d26f1497f16f9d31f0,2021-09-20_00h14.42.245,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,yellow,10.0858,4,0,4,0,1,613a7e0afd2d5588c9626157,614815d26f1497f16f9d31f0,2021-09-20_00h14.42.245,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,,11.996,5,0,5,0,1,613a7e0afd2d5588c9626157,614815d26f1497f16f9d31f0,2021-09-20_00h14.42.245,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,, grass,6.4928,,,,,,613a7e0afd2d5588c9626157,614815d26f1497f16f9d31f0,2021-09-20_00h14.42.245,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,space,1.5387,3,FF,0,0,0,0,1,,,,,,,
,,,,,,,,car,3.2069,,,,,,613a7e0afd2d5588c9626157,614815d26f1497f16f9d31f0,2021-09-20_00h14.42.245,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,1,0,1,0,1,,,,,,,
,,,,,,,,disgust,28.2059,,,,,,613a7e0afd2d5588c9626157,614815d26f1497f16f9d31f0,2021-09-20_00h14.42.245,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,2,0,2,0,1,,,,,,,
,,,,,,,,worm,4.0749,,,,,,613a7e0afd2d5588c9626157,614815d26f1497f16f9d31f0,2021-09-20_00h14.42.245,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,3,0,3,0,1,,,,,,,
,,,,,,,,,2.5921,,,,,,613a7e0afd2d5588c9626157,614815d26f1497f16f9d31f0,2021-09-20_00h14.42.245,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,4,0,4,0,1,,,,,,,
,,,,,,,,,,,,,,,613a7e0afd2d5588c9626157,614815d26f1497f16f9d31f0,2021-09-20_00h14.42.245,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,3,FF,,,,,,space,1.0166,0,0,0,2,1
