key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,inputText,rt,pracassoc.thisRepN,pracassoc.thisTrialN,pracassoc.thisN,pracassoc.thisIndex,pracassoc.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,key_resp_6.keys,key_resp_6.rt,Colour1,Ecc,assocresponse.thisRepN,assocresponse.thisTrialN,assocresponse.thisN,assocresponse.thisIndex,assocresponse.ran,key_resp_5.keys,key_resp_5.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,9.2028,space,35.732,space,15.2931,space,33.1852, spring sun hot ,208.7852,0,0,0,0,1,613a8a58a41804207e22dfa3,614919e8f9b71e98e006580b,2021-09-20_18h32.17.612,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,, grass happiness hope,48.4473,,,,,,613a8a58a41804207e22dfa3,614919e8f9b71e98e006580b,2021-09-20_18h32.17.612,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,space,1.6531,3,FF,0,0,0,0,1,,,,,,,
,,,,,,,,,4.5804,,,,,,613a8a58a41804207e22dfa3,614919e8f9b71e98e006580b,2021-09-20_18h32.17.612,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,1,0,1,0,1,,,,,,,
,,,,,,,,,,,,,,,613a8a58a41804207e22dfa3,614919e8f9b71e98e006580b,2021-09-20_18h32.17.612,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,3,FF,,,,,,space,1.5874,0,0,0,2,1
,,,,,,,, grass hope happiness,13.0518,,,,,,613a8a58a41804207e22dfa3,614919e8f9b71e98e006580b,2021-09-20_18h32.17.612,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,4,PF,0,0,0,0,1,,,,,,,
,,,,,,,, happiness ,21.5067,,,,,,613a8a58a41804207e22dfa3,614919e8f9b71e98e006580b,2021-09-20_18h32.17.612,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,1,0,1,0,1,,,,,,,
,,,,,,,,grass,3.1718,,,,,,613a8a58a41804207e22dfa3,614919e8f9b71e98e006580b,2021-09-20_18h32.17.612,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,2,0,2,0,1,,,,,,,
,,,,,,,,hope,2.8494,,,,,,613a8a58a41804207e22dfa3,614919e8f9b71e98e006580b,2021-09-20_18h32.17.612,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,3,0,3,0,1,,,,,,,
,,,,,,,,,4.2143,,,,,,613a8a58a41804207e22dfa3,614919e8f9b71e98e006580b,2021-09-20_18h32.17.612,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,4,0,4,0,1,,,,,,,
,,,,,,,,,,,,,,,613a8a58a41804207e22dfa3,614919e8f9b71e98e006580b,2021-09-20_18h32.17.612,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,4,PF,,,,,,space,0.1501,0,1,1,3,1
,,,,,,,, sky,2.6636,,,,,,613a8a58a41804207e22dfa3,614919e8f9b71e98e006580b,2021-09-20_18h32.17.612,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,6,PF,0,0,0,0,1,,,,,,,
,,,,,,,,water,7.7489,,,,,,613a8a58a41804207e22dfa3,614919e8f9b71e98e006580b,2021-09-20_18h32.17.612,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,1,0,1,0,1,,,,,,,
,,,,,,,,sea,1.6977,,,,,,613a8a58a41804207e22dfa3,614919e8f9b71e98e006580b,2021-09-20_18h32.17.612,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,2,0,2,0,1,,,,,,,
,,,,,,,,,2.5746,,,,,,613a8a58a41804207e22dfa3,614919e8f9b71e98e006580b,2021-09-20_18h32.17.612,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,3,0,3,0,1,,,,,,,
,,,,,,,,,,,,,,,613a8a58a41804207e22dfa3,614919e8f9b71e98e006580b,2021-09-20_18h32.17.612,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,6,PF,,,,,,space,0.0533,0,2,2,5,1
,,,,,,,, love,2.5117,,,,,,613a8a58a41804207e22dfa3,614919e8f9b71e98e006580b,2021-09-20_18h32.17.612,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,1,FF,0,0,0,0,1,,,,,,,
,,,,,,,,hot,1.7991,,,,,,613a8a58a41804207e22dfa3,614919e8f9b71e98e006580b,2021-09-20_18h32.17.612,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,1,0,1,0,1,,,,,,,
,,,,,,,,risk,14.025,,,,,,613a8a58a41804207e22dfa3,614919e8f9b71e98e006580b,2021-09-20_18h32.17.612,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,2,0,2,0,1,,,,,,,
,,,,,,,,,1.7552,,,,,,613a8a58a41804207e22dfa3,614919e8f9b71e98e006580b,2021-09-20_18h32.17.612,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,3,0,3,0,1,,,,,,,
,,,,,,,,,,,,,,,613a8a58a41804207e22dfa3,614919e8f9b71e98e006580b,2021-09-20_18h32.17.612,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,1,FF,,,,,,space,1.2184,0,3,3,0,1
,,,,,,,, happiness,36.3148,,,,,,613a8a58a41804207e22dfa3,614919e8f9b71e98e006580b,2021-09-20_18h32.17.612,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,8,PF,0,0,0,0,1,,,,,,,
,,,,,,,,peace,19.3569,,,,,,613a8a58a41804207e22dfa3,614919e8f9b71e98e006580b,2021-09-20_18h32.17.612,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,1,0,1,0,1,,,,,,,
,,,,,,,,,6.6886,,,,,,613a8a58a41804207e22dfa3,614919e8f9b71e98e006580b,2021-09-20_18h32.17.612,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,2,0,2,0,1,,,,,,,
,,,,,,,,,,,,,,,613a8a58a41804207e22dfa3,614919e8f9b71e98e006580b,2021-09-20_18h32.17.612,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,8,PF,,,,,,space,0.4853,0,4,4,7,1
,,,,,,,, water,4.7726,,,,,,613a8a58a41804207e22dfa3,614919e8f9b71e98e006580b,2021-09-20_18h32.17.612,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,5,FF,0,0,0,0,1,,,,,,,
