key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,inputText,rt,pracassoc.thisRepN,pracassoc.thisTrialN,pracassoc.thisN,pracassoc.thisIndex,pracassoc.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,key_resp_6.keys,key_resp_6.rt,Colour1,Ecc,assocresponse.thisRepN,assocresponse.thisTrialN,assocresponse.thisN,assocresponse.thisIndex,assocresponse.ran,key_resp_5.keys,key_resp_5.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,4.5097,space,29.6975,space,15.5443,space,33.9343, money ,35.2782,0,0,0,0,1,613a8c117ff405c4017c9f92,614814ef975bba84fd885618,2021-09-19_22h59.02.077,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,gold,4.9588,1,0,1,0,1,613a8c117ff405c4017c9f92,614814ef975bba84fd885618,2021-09-19_22h59.02.077,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,beer,2.9286,2,0,2,0,1,613a8c117ff405c4017c9f92,614814ef975bba84fd885618,2021-09-19_22h59.02.077,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,happy,5.7297,3,0,3,0,1,613a8c117ff405c4017c9f92,614814ef975bba84fd885618,2021-09-19_22h59.02.077,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,,18.5787,4,0,4,0,1,613a8c117ff405c4017c9f92,614814ef975bba84fd885618,2021-09-19_22h59.02.077,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,, happy,14.7663,,,,,,613a8c117ff405c4017c9f92,614814ef975bba84fd885618,2021-09-19_22h59.02.077,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,space,1.4084,2,PF,0,0,0,0,1,,,,,,,
,,,,,,,,gold,1.7126,,,,,,613a8c117ff405c4017c9f92,614814ef975bba84fd885618,2021-09-19_22h59.02.077,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,1,0,1,0,1,,,,,,,
,,,,,,,,money,8.1571,,,,,,613a8c117ff405c4017c9f92,614814ef975bba84fd885618,2021-09-19_22h59.02.077,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,2,0,2,0,1,,,,,,,
,,,,,,,,honey,1.9694,,,,,,613a8c117ff405c4017c9f92,614814ef975bba84fd885618,2021-09-19_22h59.02.077,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,3,0,3,0,1,,,,,,,
,,,,,,,,,2.2995,,,,,,613a8c117ff405c4017c9f92,614814ef975bba84fd885618,2021-09-19_22h59.02.077,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,4,0,4,0,1,,,,,,,
,,,,,,,,,8.593,,,,,,613a8c117ff405c4017c9f92,614814ef975bba84fd885618,2021-09-19_22h59.02.077,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,5,0,5,0,1,,,,,,,
,,,,,,,,,,,,,,,613a8c117ff405c4017c9f92,614814ef975bba84fd885618,2021-09-19_22h59.02.077,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,2,PF,,,,,,space,1.534,0,0,0,1,1
