key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,inputText,rt,pracassoc.thisRepN,pracassoc.thisTrialN,pracassoc.thisN,pracassoc.thisIndex,pracassoc.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,key_resp_6.keys,key_resp_6.rt,Colour1,Ecc,assocresponse.thisRepN,assocresponse.thisTrialN,assocresponse.thisN,assocresponse.thisIndex,assocresponse.ran,key_resp_5.keys,key_resp_5.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,1.9435,space,120.2266,space,19.7279,space,31.9182, sun,18.6089,0,0,0,0,1,613a9172974cf7634ed96b17,614818da8412dc997ffcd2d9,2021-09-20_00h15.43.513,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,light,3.0297,1,0,1,0,1,613a9172974cf7634ed96b17,614818da8412dc997ffcd2d9,2021-09-20_00h15.43.513,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,day,1.8323,2,0,2,0,1,613a9172974cf7634ed96b17,614818da8412dc997ffcd2d9,2021-09-20_00h15.43.513,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,happiness,4.6654,3,0,3,0,1,613a9172974cf7634ed96b17,614818da8412dc997ffcd2d9,2021-09-20_00h15.43.513,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,day,7.0143,4,0,4,0,1,613a9172974cf7634ed96b17,614818da8412dc997ffcd2d9,2021-09-20_00h15.43.513,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,sky,17.9635,5,0,5,0,1,613a9172974cf7634ed96b17,614818da8412dc997ffcd2d9,2021-09-20_00h15.43.513,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,, orange,5.9808,,,,,,613a9172974cf7634ed96b17,614818da8412dc997ffcd2d9,2021-09-20_00h15.43.513,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,space,2.9366,2,PF,0,0,0,0,1,,,,,,,
,,,,,,,,fun,9.798,,,,,,613a9172974cf7634ed96b17,614818da8412dc997ffcd2d9,2021-09-20_00h15.43.513,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,1,0,1,0,1,,,,,,,
,,,,,,,,day,1.8143,,,,,,613a9172974cf7634ed96b17,614818da8412dc997ffcd2d9,2021-09-20_00h15.43.513,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,2,0,2,0,1,,,,,,,
,,,,,,,,happiness,7.7643,,,,,,613a9172974cf7634ed96b17,614818da8412dc997ffcd2d9,2021-09-20_00h15.43.513,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,3,0,3,0,1,,,,,,,
