key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,inputText,rt,pracassoc.thisRepN,pracassoc.thisTrialN,pracassoc.thisN,pracassoc.thisIndex,pracassoc.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,key_resp_6.keys,key_resp_6.rt,Colour1,Ecc,assocresponse.thisRepN,assocresponse.thisTrialN,assocresponse.thisN,assocresponse.thisIndex,assocresponse.ran,key_resp_5.keys,key_resp_5.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,3.3837,space,2.9743,space,9.7227,space,22.7977, ,27.338,0,0,0,0,1,613a996383fe819b7cb48941,614815f5b149d06ceffb491c,2021-09-19_23h03.06.225,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,, joy,41.1424,1,0,1,0,1,613a996383fe819b7cb48941,614815f5b149d06ceffb491c,2021-09-19_23h03.06.225,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,, estability,36.443,,,,,,613a996383fe819b7cb48941,614815f5b149d06ceffb491c,2021-09-19_23h03.06.225,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,space,2.4615,7,FF,0,0,0,0,1,,,,,,,
,,,,,,,,power,15.7233,,,,,,613a996383fe819b7cb48941,614815f5b149d06ceffb491c,2021-09-19_23h03.06.225,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,1,0,1,0,1,,,,,,,
,,,,,,,,,,,,,,,613a996383fe819b7cb48941,614815f5b149d06ceffb491c,2021-09-19_23h03.06.225,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,7,FF,,,,,,space,0.1225,0,0,0,6,1
,,,,,,,, fun,14.9679,,,,,,613a996383fe819b7cb48941,614815f5b149d06ceffb491c,2021-09-19_23h03.06.225,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,2,PF,0,0,0,0,1,,,,,,,
,,,,,,,,joy,3.1092,,,,,,613a996383fe819b7cb48941,614815f5b149d06ceffb491c,2021-09-19_23h03.06.225,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,1,0,1,0,1,,,,,,,
,,,,,,,,enthusiasm,33.4508,,,,,,613a996383fe819b7cb48941,614815f5b149d06ceffb491c,2021-09-19_23h03.06.225,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,2,0,2,0,1,,,,,,,
,,,,,,,,,2.2396,,,,,,613a996383fe819b7cb48941,614815f5b149d06ceffb491c,2021-09-19_23h03.06.225,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,3,0,3,0,1,,,,,,,
,,,,,,,,,0.6017,,,,,,613a996383fe819b7cb48941,614815f5b149d06ceffb491c,2021-09-19_23h03.06.225,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,4,0,4,0,1,,,,,,,
,,,,,,,, exotic,19.4723,,,,,,613a996383fe819b7cb48941,614815f5b149d06ceffb491c,2021-09-19_23h03.06.225,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,5,0,5,0,1,,,,,,,
,,,,,,,,,,,,,,,613a996383fe819b7cb48941,614815f5b149d06ceffb491c,2021-09-19_23h03.06.225,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,2,PF,,,,,,space,0.8172,0,1,1,1,1
,,,,,,,, luxury,13.3955,,,,,,613a996383fe819b7cb48941,614815f5b149d06ceffb491c,2021-09-19_23h03.06.225,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,8,PF,0,0,0,0,1,,,,,,,
