key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,inputText,rt,pracassoc.thisRepN,pracassoc.thisTrialN,pracassoc.thisN,pracassoc.thisIndex,pracassoc.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,key_resp_6.keys,key_resp_6.rt,Colour1,Ecc,assocresponse.thisRepN,assocresponse.thisTrialN,assocresponse.thisN,assocresponse.thisIndex,assocresponse.ran,key_resp_5.keys,key_resp_5.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,11.8286,space,76.0844,space,46.5863,space,1.1705, joy,26.1954,0,0,0,0,1,613ae6e178fbca0316c2b325,61481aeb9ffdd112ac081a38,2021-09-20_00h24.20.898,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,naiveness,25.7116,1,0,1,0,1,613ae6e178fbca0316c2b325,61481aeb9ffdd112ac081a38,2021-09-20_00h24.20.898,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,simplicity,4.8993,2,0,2,0,1,613ae6e178fbca0316c2b325,61481aeb9ffdd112ac081a38,2021-09-20_00h24.20.898,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,summer,16.4312,3,0,3,0,1,613ae6e178fbca0316c2b325,61481aeb9ffdd112ac081a38,2021-09-20_00h24.20.898,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,sun,1.8145,4,0,4,0,1,613ae6e178fbca0316c2b325,61481aeb9ffdd112ac081a38,2021-09-20_00h24.20.898,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,enjoyment,4.3152,5,0,5,0,1,613ae6e178fbca0316c2b325,61481aeb9ffdd112ac081a38,2021-09-20_00h24.20.898,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,youth,3.7148,6,0,6,0,1,613ae6e178fbca0316c2b325,61481aeb9ffdd112ac081a38,2021-09-20_00h24.20.898,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,energy,3.3993,7,0,7,0,1,613ae6e178fbca0316c2b325,61481aeb9ffdd112ac081a38,2021-09-20_00h24.20.898,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,light,1.947,8,0,8,0,1,613ae6e178fbca0316c2b325,61481aeb9ffdd112ac081a38,2021-09-20_00h24.20.898,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,lightning,27.7507,9,0,9,0,1,613ae6e178fbca0316c2b325,61481aeb9ffdd112ac081a38,2021-09-20_00h24.20.898,Colour_Association_Experimentv1,2020.2.10,MacIntel,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
