key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,inputText,rt,pracassoc.thisRepN,pracassoc.thisTrialN,pracassoc.thisN,pracassoc.thisIndex,pracassoc.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,key_resp_6.keys,key_resp_6.rt,Colour1,Ecc,assocresponse.thisRepN,assocresponse.thisTrialN,assocresponse.thisN,assocresponse.thisIndex,assocresponse.ran,key_resp_5.keys,key_resp_5.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,4.3691,space,21.1035,space,10.4655,space,19.4339, pineapple,13.1902,0,0,0,0,1,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,mango,2.3639,1,0,1,0,1,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,sun,1.8159,2,0,2,0,1,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,banana,3.6656,3,0,3,0,1,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,andrea friend of mine ,20.632,4,0,4,0,1,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,summer,48.5789,5,0,5,0,1,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,, pineapple,11.3299,,,,,,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,space,1.4724,2,PF,0,0,0,0,1,,,,,,,
,,,,,,,,mango,1.8476,,,,,,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,1,0,1,0,1,,,,,,,
,,,,,,,,banana,2.283,,,,,,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,2,0,2,0,1,,,,,,,
,,,,,,,,sun,2.0485,,,,,,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,3,0,3,0,1,,,,,,,
,,,,,,,,summer,2.5822,,,,,,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,4,0,4,0,1,,,,,,,
,,,,,,,,sunscreen,2.8495,,,,,,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,5,0,5,0,1,,,,,,,
,,,,,,,,sunny day,11.9315,,,,,,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,6,0,6,0,1,,,,,,,
,,,,,,,,,6.8818,,,,,,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,7,0,7,0,1,,,,,,,
,,,,,,,,,,,,,,,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,2,PF,,,,,,space,0.8602,0,0,0,1,1
,,,,,,,, green apple,9.0976,,,,,,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,4,PF,0,0,0,0,1,,,,,,,
,,,,,,,,vegetables,3.8815,,,,,,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,1,0,1,0,1,,,,,,,
,,,,,,,,brocoli,3.799,,,,,,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,2,0,2,0,1,,,,,,,
,,,,,,,,lettuce,2.3318,,,,,,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,3,0,3,0,1,,,,,,,
,,,,,,,,grass,5.1318,,,,,,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,4,0,4,0,1,,,,,,,
,,,,,,,,ireland,2.5982,,,,,,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,5,0,5,0,1,,,,,,,
,,,,,,,,land,2.9161,,,,,,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,6,0,6,0,1,,,,,,,
,,,,,,,,st patricks day,4.7487,,,,,,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,7,0,7,0,1,,,,,,,
,,,,,,,,appletini,25.0475,,,,,,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,8,0,8,0,1,,,,,,,
,,,,,,,,,2.448,,,,,,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,9,0,9,0,1,,,,,,,
,,,,,,,,,,,,,,,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,4,PF,,,,,,space,1.5534,0,1,1,3,1
,,,,,,,, apple,4.847,,,,,,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,3,FF,0,0,0,0,1,,,,,,,
,,,,,,,,pear,1.6316,,,,,,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,1,0,1,0,1,,,,,,,
,,,,,,,,lemon,3.316,,,,,,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,2,0,2,0,1,,,,,,,
,,,,,,,,lime ,3.4818,,,,,,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,3,0,3,0,1,,,,,,,
,,,,,,,,lime water,3.4156,,,,,,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,4,0,4,0,1,,,,,,,
,,,,,,,,lemonade,3.215,,,,,,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,5,0,5,0,1,,,,,,,
,,,,,,,,freshness,4.5153,,,,,,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,6,0,6,0,1,,,,,,,
,,,,,,,,,1.0149,,,,,,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,7,0,7,0,1,,,,,,,
,,,,,,,,,,,,,,,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,3,FF,,,,,,space,1.7612,0,2,2,2,1
,,,,,,,, water,2.9627,,,,,,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,7,FF,0,0,0,0,1,,,,,,,
,,,,,,,,sky,1.6324,,,,,,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,1,0,1,0,1,,,,,,,
,,,,,,,,nostalgia,3.1496,,,,,,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,2,0,2,0,1,,,,,,,
,,,,,,,,blue neighbourhood by troye sivan,10.9982,,,,,,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,3,0,3,0,1,,,,,,,
,,,,,,,,security,9.1647,,,,,,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,4,0,4,0,1,,,,,,,
,,,,,,,,confidence,4.4489,,,,,,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,5,0,5,0,1,,,,,,,
,,,,,,,,deepness,3.3649,,,,,,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,6,0,6,0,1,,,,,,,
,,,,,,,,darkness,3.9825,,,,,,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,7,0,7,0,1,,,,,,,
,,,,,,,,depression ,4.4315,,,,,,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,8,0,8,0,1,,,,,,,
,,,,,,,,ocean,2.8313,,,,,,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,9,0,9,0,1,,,,,,,
,,,,,,,,,4.4997,,,,,,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,10,0,10,0,1,,,,,,,
,,,,,,,,,,,,,,,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,7,FF,,,,,,space,0.5115,0,3,3,6,1
,,,,,,,, heaven,4.964,,,,,,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,5,FF,0,0,0,0,1,,,,,,,
,,,,,,,,sky,5.1816,,,,,,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,1,0,1,0,1,,,,,,,
,,,,,,,,clouds,2.9148,,,,,,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,2,0,2,0,1,,,,,,,
,,,,,,,,youth,2.3156,,,,,,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,3,0,3,0,1,,,,,,,
,,,,,,,,sunny day,6.3158,,,,,,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,4,0,4,0,1,,,,,,,
,,,,,,,,calmness,5.2816,,,,,,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,5,0,5,0,1,,,,,,,
,,,,,,,,,0.9316,,,,,,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,6,0,6,0,1,,,,,,,
,,,,,,,,,,,,,,,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,5,FF,,,,,,space,0.0684,0,4,4,4,1
,,,,,,,, apple,2.6476,,,,,,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,1,FF,0,0,0,0,1,,,,,,,
,,,,,,,,tomato,2.3998,,,,,,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,1,0,1,0,1,,,,,,,
,,,,,,,,rage,3.2322,,,,,,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,2,0,2,0,1,,,,,,,
,,,,,,,,manchester united,11.5478,,,,,,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,3,0,3,0,1,,,,,,,
,,,,,,,,russia,6.3481,,,,,,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,4,0,4,0,1,,,,,,,
,,,,,,,,bulgaria,2.8152,,,,,,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,5,0,5,0,1,,,,,,,
,,,,,,,,,7.6491,,,,,,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,6,0,6,0,1,,,,,,,
,,,,,,,,,,,,,,,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,1,FF,,,,,,space,1.2836,0,5,5,0,1
,,,,,,,, calmness,4.6979,,,,,,613e65aa18049c2251345c3f,6148174444a3719bb3fe94b5,2021-09-20_00h08.42.173,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,6,PF,0,0,0,0,1,,,,,,,
