key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,inputText,rt,pracassoc.thisRepN,pracassoc.thisTrialN,pracassoc.thisN,pracassoc.thisIndex,pracassoc.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,key_resp_6.keys,key_resp_6.rt,Colour1,Ecc,assocresponse.thisRepN,assocresponse.thisTrialN,assocresponse.thisN,assocresponse.thisIndex,assocresponse.ran,key_resp_5.keys,key_resp_5.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,4.711,space,6.84,space,8.337,space,14.619,sunflower,30.328,0,0,0,0,1,613fbae487b5bc74d4234066,614815e0221956b19fa5ae00,2021-09-20_00h02.55.373,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,sun,4.615,1,0,1,0,1,613fbae487b5bc74d4234066,614815e0221956b19fa5ae00,2021-09-20_00h02.55.373,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,vainilla,5.165,2,0,2,0,1,613fbae487b5bc74d4234066,614815e0221956b19fa5ae00,2021-09-20_00h02.55.373,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,raice,13.232,3,0,3,0,1,613fbae487b5bc74d4234066,614815e0221956b19fa5ae00,2021-09-20_00h02.55.373,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,n,15.749,4,0,4,0,1,613fbae487b5bc74d4234066,614815e0221956b19fa5ae00,2021-09-20_00h02.55.373,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,, sky,11.815,,,,,,613fbae487b5bc74d4234066,614815e0221956b19fa5ae00,2021-09-20_00h02.55.373,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,space,1.27,7,FF,0,0,0,0,1,,,,,,,
,,,,,,,,moon,4.432,,,,,,613fbae487b5bc74d4234066,614815e0221956b19fa5ae00,2021-09-20_00h02.55.373,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,1,0,1,0,1,,,,,,,
,,,,,,,,ocean,3.282,,,,,,613fbae487b5bc74d4234066,614815e0221956b19fa5ae00,2021-09-20_00h02.55.373,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,2,0,2,0,1,,,,,,,
,,,,,,,,facebook,5.882,,,,,,613fbae487b5bc74d4234066,614815e0221956b19fa5ae00,2021-09-20_00h02.55.373,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,3,0,3,0,1,,,,,,,
,,,,,,,,wallmart,6.481,,,,,,613fbae487b5bc74d4234066,614815e0221956b19fa5ae00,2021-09-20_00h02.55.373,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,4,0,4,0,1,,,,,,,
,,,,,,,,blueberrie,7.549,,,,,,613fbae487b5bc74d4234066,614815e0221956b19fa5ae00,2021-09-20_00h02.55.373,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,5,0,5,0,1,,,,,,,
,,,,,,,,,2.065,,,,,,613fbae487b5bc74d4234066,614815e0221956b19fa5ae00,2021-09-20_00h02.55.373,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,6,0,6,0,1,,,,,,,
