key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,inputText,rt,pracassoc.thisRepN,pracassoc.thisTrialN,pracassoc.thisN,pracassoc.thisIndex,pracassoc.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,key_resp_6.keys,key_resp_6.rt,Colour1,Ecc,assocresponse.thisRepN,assocresponse.thisTrialN,assocresponse.thisN,assocresponse.thisIndex,assocresponse.ran,key_resp_5.keys,key_resp_5.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,2.9403,space,55.9563,space,8.8159,space,16.9363, spring,10.0005,0,0,0,0,1,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,flowers,4.0603,1,0,1,0,1,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,fryes,2.6298,2,0,2,0,1,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,sun,4.0981,3,0,3,0,1,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,sunny day,4.829,4,0,4,0,1,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,beach,1.7294,5,0,5,0,1,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,sunscreen,4.0318,6,0,6,0,1,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,lemonade,2.7809,7,0,7,0,1,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,lemons,9.2452,8,0,8,0,1,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,light,4.1972,9,0,9,0,1,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,banana,5.679,10,0,10,0,1,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,,4.4795,11,0,11,0,1,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,, leaves,4.6086,,,,,,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,space,0.2362,4,PF,0,0,0,0,1,,,,,,,
,,,,,,,,trees,1.5463,,,,,,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,1,0,1,0,1,,,,,,,
,,,,,,,,forest,2.1646,,,,,,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,2,0,2,0,1,,,,,,,
,,,,,,,,jungle,2.4478,,,,,,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,3,0,3,0,1,,,,,,,
,,,,,,,,flowers,2.3817,,,,,,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,4,0,4,0,1,,,,,,,
,,,,,,,,plants,5.9791,,,,,,614009d626146bb34ae7a1cf,614817ae82c5770ec9a562c6,2021-09-19_22h12.19.063,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,5,0,5,0,1,,,,,,,
