key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,inputText,rt,pracassoc.thisRepN,pracassoc.thisTrialN,pracassoc.thisN,pracassoc.thisIndex,pracassoc.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,key_resp_6.keys,key_resp_6.rt,Colour1,Ecc,assocresponse.thisRepN,assocresponse.thisTrialN,assocresponse.thisN,assocresponse.thisIndex,assocresponse.ran,key_resp_5.keys,key_resp_5.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,3.9919,space,33.3057,space,11.6495,space,19.0985, fun,30.8408,0,0,0,0,1,61424f8b9d03b0d6cf3da594,6148170aeeae617f909c436b,2021-09-20_00h07.48.247,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,big,4.826,1,0,1,0,1,61424f8b9d03b0d6cf3da594,6148170aeeae617f909c436b,2021-09-20_00h07.48.247,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,food,6.259,2,0,2,0,1,61424f8b9d03b0d6cf3da594,6148170aeeae617f909c436b,2021-09-20_00h07.48.247,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,happy,5.9753,3,0,3,0,1,61424f8b9d03b0d6cf3da594,6148170aeeae617f909c436b,2021-09-20_00h07.48.247,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,, ,11.1374,4,0,4,0,1,61424f8b9d03b0d6cf3da594,6148170aeeae617f909c436b,2021-09-20_00h07.48.247,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,, calm,11.4527,,,,,,61424f8b9d03b0d6cf3da594,6148170aeeae617f909c436b,2021-09-20_00h07.48.247,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,space,0.766,4,PF,0,0,0,0,1,,,,,,,
,,,,,,,,luck,2.0123,,,,,,61424f8b9d03b0d6cf3da594,6148170aeeae617f909c436b,2021-09-20_00h07.48.247,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,1,0,1,0,1,,,,,,,
,,,,,,,,environment,26.4899,,,,,,61424f8b9d03b0d6cf3da594,6148170aeeae617f909c436b,2021-09-20_00h07.48.247,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,2,0,2,0,1,,,,,,,
,,,,,,,,nature,2.8784,,,,,,61424f8b9d03b0d6cf3da594,6148170aeeae617f909c436b,2021-09-20_00h07.48.247,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,3,0,3,0,1,,,,,,,
,,,,,,,,grass,2.9134,,,,,,61424f8b9d03b0d6cf3da594,6148170aeeae617f909c436b,2021-09-20_00h07.48.247,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,4,0,4,0,1,,,,,,,
