key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,inputText,rt,pracassoc.thisRepN,pracassoc.thisTrialN,pracassoc.thisN,pracassoc.thisIndex,pracassoc.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,key_resp_6.keys,key_resp_6.rt,Colour1,Ecc,assocresponse.thisRepN,assocresponse.thisTrialN,assocresponse.thisN,assocresponse.thisIndex,assocresponse.ran,key_resp_5.keys,key_resp_5.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,4.9096,space,76.8472,space,57.8894,space,21.5475, ,20.1547,0,0,0,0,1,61439a9e2e0aa76c0e663585,614816ccb697cdb9be6abf25,2021-09-20_00h08.00.933,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,,2.4429,1,0,1,0,1,61439a9e2e0aa76c0e663585,614816ccb697cdb9be6abf25,2021-09-20_00h08.00.933,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,yellow,17.7359,2,0,2,0,1,61439a9e2e0aa76c0e663585,614816ccb697cdb9be6abf25,2021-09-20_00h08.00.933,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,yellow,21.2356,3,0,3,0,1,61439a9e2e0aa76c0e663585,614816ccb697cdb9be6abf25,2021-09-20_00h08.00.933,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,, blue,10.3738,,,,,,61439a9e2e0aa76c0e663585,614816ccb697cdb9be6abf25,2021-09-20_00h08.00.933,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,space,1.3513,5,FF,0,0,0,0,1,,,,,,,
,,,,,,,,blue,6.7905,,,,,,61439a9e2e0aa76c0e663585,614816ccb697cdb9be6abf25,2021-09-20_00h08.00.933,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,1,0,1,0,1,,,,,,,
,,,,,,,,,,,,,,,61439a9e2e0aa76c0e663585,614816ccb697cdb9be6abf25,2021-09-20_00h08.00.933,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,5,FF,,,,,,space,0.3912,0,0,0,4,1
,,,,,,,, green  nature and vegetables,40.3262,,,,,,61439a9e2e0aa76c0e663585,614816ccb697cdb9be6abf25,2021-09-20_00h08.00.933,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,4,PF,0,0,0,0,1,,,,,,,
,,,,,,,,vegetables,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
,,,,,,,,nature,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
