key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,inputText,rt,pracassoc.thisRepN,pracassoc.thisTrialN,pracassoc.thisN,pracassoc.thisIndex,pracassoc.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,key_resp_6.keys,key_resp_6.rt,Colour1,Ecc,assocresponse.thisRepN,assocresponse.thisTrialN,assocresponse.thisN,assocresponse.thisIndex,assocresponse.ran,key_resp_5.keys,key_resp_5.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,3.4622,space,89.858,space,17.7266,space,73.1342, ,16.8279,0,0,0,0,1,6144d595272a4e5174447ab5,614815122c2a08c24a3d4e01,2021-09-19_23h59.35.974,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,,1.8455,1,0,1,0,1,6144d595272a4e5174447ab5,614815122c2a08c24a3d4e01,2021-09-19_23h59.35.974,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,sun,3.8508,2,0,2,0,1,6144d595272a4e5174447ab5,614815122c2a08c24a3d4e01,2021-09-19_23h59.35.974,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,sun,12.1694,3,0,3,0,1,6144d595272a4e5174447ab5,614815122c2a08c24a3d4e01,2021-09-19_23h59.35.974,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,urine,89.4916,4,0,4,0,1,6144d595272a4e5174447ab5,614815122c2a08c24a3d4e01,2021-09-19_23h59.35.974,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,, sun,28.6891,,,,,,6144d595272a4e5174447ab5,614815122c2a08c24a3d4e01,2021-09-19_23h59.35.974,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,space,2.5732,2,PF,0,0,0,0,1,,,,,,,
,,,,,,,,medal,66.8903,,,,,,6144d595272a4e5174447ab5,614815122c2a08c24a3d4e01,2021-09-19_23h59.35.974,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,1,0,1,0,1,,,,,,,
,,,,,,,,urine,22.9082,,,,,,6144d595272a4e5174447ab5,614815122c2a08c24a3d4e01,2021-09-19_23h59.35.974,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,2,0,2,0,1,,,,,,,
,,,,,,,,,,,,,,,6144d595272a4e5174447ab5,614815122c2a08c24a3d4e01,2021-09-19_23h59.35.974,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,2,PF,,,,,,space,2.7637,0,0,0,1,1
,,,,,,,, flower,22.7219,,,,,,6144d595272a4e5174447ab5,614815122c2a08c24a3d4e01,2021-09-19_23h59.35.974,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,9,FF,0,0,0,0,1,,,,,,,
,,,,,,,,gum,47.3351,,,,,,6144d595272a4e5174447ab5,614815122c2a08c24a3d4e01,2021-09-19_23h59.35.974,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,1,0,1,0,1,,,,,,,
,,,,,,,,pink ball,13.6535,,,,,,6144d595272a4e5174447ab5,614815122c2a08c24a3d4e01,2021-09-19_23h59.35.974,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,2,0,2,0,1,,,,,,,
