key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,inputText,rt,pracassoc.thisRepN,pracassoc.thisTrialN,pracassoc.thisN,pracassoc.thisIndex,pracassoc.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,key_resp_6.keys,key_resp_6.rt,Colour1,Ecc,assocresponse.thisRepN,assocresponse.thisTrialN,assocresponse.thisN,assocresponse.thisIndex,assocresponse.ran,key_resp_5.keys,key_resp_5.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,5.7291,space,57.7134,space,12.7333,space,84.1886, sun,32.268,0,0,0,0,1,6145448f8b3cd18fb19f0b0e,6148179bc2a8cbc6233374a8,2021-09-20_00h12.15.232,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,happiness,20.0789,1,0,1,0,1,6145448f8b3cd18fb19f0b0e,6148179bc2a8cbc6233374a8,2021-09-20_00h12.15.232,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,chicken,39.9871,2,0,2,0,1,6145448f8b3cd18fb19f0b0e,6148179bc2a8cbc6233374a8,2021-09-20_00h12.15.232,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,stars,7.6616,3,0,3,0,1,6145448f8b3cd18fb19f0b0e,6148179bc2a8cbc6233374a8,2021-09-20_00h12.15.232,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,  ,44.3428,4,0,4,0,1,6145448f8b3cd18fb19f0b0e,6148179bc2a8cbc6233374a8,2021-09-20_00h12.15.232,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,, barney,15.9465,,,,,,6145448f8b3cd18fb19f0b0e,6148179bc2a8cbc6233374a8,2021-09-20_00h12.15.232,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,space,5.7861,8,PF,0,0,0,0,1,,,,,,,
,,,,,,,,halloween,3.4142,,,,,,6145448f8b3cd18fb19f0b0e,6148179bc2a8cbc6233374a8,2021-09-20_00h12.15.232,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,1,0,1,0,1,,,,,,,
,,,,,,,,,8.2991,,,,,,6145448f8b3cd18fb19f0b0e,6148179bc2a8cbc6233374a8,2021-09-20_00h12.15.232,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,2,0,2,0,1,,,,,,,
,,,,,,,,,,,,,,,6145448f8b3cd18fb19f0b0e,6148179bc2a8cbc6233374a8,2021-09-20_00h12.15.232,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,8,PF,,,,,,space,0.6862,0,0,0,7,1
,,,,,,,, love,4.7992,,,,,,6145448f8b3cd18fb19f0b0e,6148179bc2a8cbc6233374a8,2021-09-20_00h12.15.232,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,1,FF,0,0,0,0,1,,,,,,,
,,,,,,,,heart,2.1473,,,,,,6145448f8b3cd18fb19f0b0e,6148179bc2a8cbc6233374a8,2021-09-20_00h12.15.232,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,1,0,1,0,1,,,,,,,
,,,,,,,,blood,15.9607,,,,,,6145448f8b3cd18fb19f0b0e,6148179bc2a8cbc6233374a8,2021-09-20_00h12.15.232,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,2,0,2,0,1,,,,,,,
,,,,,,,,devil,6.6804,,,,,,6145448f8b3cd18fb19f0b0e,6148179bc2a8cbc6233374a8,2021-09-20_00h12.15.232,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,3,0,3,0,1,,,,,,,
,,,,,,,,,1.9973,,,,,,6145448f8b3cd18fb19f0b0e,6148179bc2a8cbc6233374a8,2021-09-20_00h12.15.232,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,4,0,4,0,1,,,,,,,
,,,,,,,,,,,,,,,6145448f8b3cd18fb19f0b0e,6148179bc2a8cbc6233374a8,2021-09-20_00h12.15.232,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,1,FF,,,,,,space,2.8218,0,1,1,0,1
