key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,inputText,rt,pracassoc.thisRepN,pracassoc.thisTrialN,pracassoc.thisN,pracassoc.thisIndex,pracassoc.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,key_resp_6.keys,key_resp_6.rt,Colour1,Ecc,assocresponse.thisRepN,assocresponse.thisTrialN,assocresponse.thisN,assocresponse.thisIndex,assocresponse.ran,key_resp_5.keys,key_resp_5.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,2.138800001,space,13.33513,space,6.11595,space,12.710225, sunshine,5.74542,0,0,0,0,1,61456e4580dd08343ca3f422,614817b12b3cec1ed2055059,2021-09-20_00h10.26.554,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,yellow,3.31381,1,0,1,0,1,61456e4580dd08343ca3f422,614817b12b3cec1ed2055059,2021-09-20_00h10.26.554,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,bright,1.5995,2,0,2,0,1,61456e4580dd08343ca3f422,614817b12b3cec1ed2055059,2021-09-20_00h10.26.554,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,mom,2.01615,3,0,3,0,1,61456e4580dd08343ca3f422,614817b12b3cec1ed2055059,2021-09-20_00h10.26.554,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,sunflower,2.082869999,4,0,4,0,1,61456e4580dd08343ca3f422,614817b12b3cec1ed2055059,2021-09-20_00h10.26.554,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,golden,1.482829999,5,0,5,0,1,61456e4580dd08343ca3f422,614817b12b3cec1ed2055059,2021-09-20_00h10.26.554,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,,  ,15.31849,6,0,6,0,1,61456e4580dd08343ca3f422,614817b12b3cec1ed2055059,2021-09-20_00h10.26.554,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,,,,,,,,,,,,
,,,,,,,, fire,2.479039999,,,,,,61456e4580dd08343ca3f422,614817b12b3cec1ed2055059,2021-09-20_00h10.26.554,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,space,0.637004999,1,FF,0,0,0,0,1,,,,,,,
,,,,,,,,firetruck,2.749735,,,,,,61456e4580dd08343ca3f422,614817b12b3cec1ed2055059,2021-09-20_00h10.26.554,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,1,0,1,0,1,,,,,,,
,,,,,,,,ketchup,2.531785,,,,,,61456e4580dd08343ca3f422,614817b12b3cec1ed2055059,2021-09-20_00h10.26.554,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,2,0,2,0,1,,,,,,,
,,,,,,,,rose,6.383284999,,,,,,61456e4580dd08343ca3f422,614817b12b3cec1ed2055059,2021-09-20_00h10.26.554,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,3,0,3,0,1,,,,,,,
,,,,,,,,,6.983024999,,,,,,61456e4580dd08343ca3f422,614817b12b3cec1ed2055059,2021-09-20_00h10.26.554,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,4,0,4,0,1,,,,,,,
,,,,,,,,,,,,,,,61456e4580dd08343ca3f422,614817b12b3cec1ed2055059,2021-09-20_00h10.26.554,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,1,FF,,,,,,space,0.743690001,0,0,0,0,1
,,,,,,,, ocean,3.11124,,,,,,61456e4580dd08343ca3f422,614817b12b3cec1ed2055059,2021-09-20_00h10.26.554,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,5,FF,0,0,0,0,1,,,,,,,
,,,,,,,,tiffany,1.997585,,,,,,61456e4580dd08343ca3f422,614817b12b3cec1ed2055059,2021-09-20_00h10.26.554,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,1,0,1,0,1,,,,,,,
,,,,,,,,sweater,5.166315001,,,,,,61456e4580dd08343ca3f422,614817b12b3cec1ed2055059,2021-09-20_00h10.26.554,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,2,0,2,0,1,,,,,,,
,,,,,,,,flip flops,4.64835,,,,,,61456e4580dd08343ca3f422,614817b12b3cec1ed2055059,2021-09-20_00h10.26.554,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,3,0,3,0,1,,,,,,,
,,,,,,,,seashell,4.58293,,,,,,61456e4580dd08343ca3f422,614817b12b3cec1ed2055059,2021-09-20_00h10.26.554,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,4,0,4,0,1,,,,,,,
,,,,,,,,bird egg,5.49893,,,,,,61456e4580dd08343ca3f422,614817b12b3cec1ed2055059,2021-09-20_00h10.26.554,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,5,0,5,0,1,,,,,,,
,,,,,,,,,1.699139999,,,,,,61456e4580dd08343ca3f422,614817b12b3cec1ed2055059,2021-09-20_00h10.26.554,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,6,0,6,0,1,,,,,,,
,,,,,,,,,,,,,,,61456e4580dd08343ca3f422,614817b12b3cec1ed2055059,2021-09-20_00h10.26.554,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,5,FF,,,,,,space,2.296389999,0,1,1,4,1
,,,,,,,, hannah montana,10.213545,,,,,,61456e4580dd08343ca3f422,614817b12b3cec1ed2055059,2021-09-20_00h10.26.554,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,8,PF,0,0,0,0,1,,,,,,,
,,,,,,,,jacket,1.71497,,,,,,61456e4580dd08343ca3f422,614817b12b3cec1ed2055059,2021-09-20_00h10.26.554,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,1,0,1,0,1,,,,,,,
,,,,,,,,bright,7.066955,,,,,,61456e4580dd08343ca3f422,614817b12b3cec1ed2055059,2021-09-20_00h10.26.554,Colour_Association_Experimentv1,2020.2.10,Win32,60,614813970c3839c5bfc24e99,,,,,2,0,2,0,1,,,,,,,
